nt n policy kernel bw
32 5832000 3d-mdrange Add 1537.0964
32 5832000 3d-mdrange Triad 1546.2831
32 5308416 4d-mdrange Set 661.2892
32 5308416 4d-mdrange Copy 1217.3695
32 5308416 4d-mdrange Scale 1222.7851
32 5308416 4d-mdrange Add 1461.8869
32 5308416 4d-mdrange Triad 1492.1934
32 3200000 5d-mdrange Set 300.7201
32 3200000 5d-mdrange Copy 557.2547
32 3200000 5d-mdrange Scale 553.3341
32 3200000 5d-mdrange Add 763.4271
32 3200000 5d-mdrange Triad 767.5471
32 16777216 range Set 1158.9577
32 16777216 range Copy 1633.1270
32 16777216 range Scale 1629.0635
32 16777216 range Add 1671.8076
32 16777216 range Triad 1692.7518
32 16777216 2d-mdrange Set 304.9661
32 16777216 2d-mdrange Copy 608.1222
32 16777216 2d-mdrange Scale 608.0257
32 16777216 2d-mdrange Add 911.1718
32 16777216 2d-mdrange Triad 911.4399
32 16777216 3d-mdrange Set 599.0285
32 16777216 3d-mdrange Copy 1193.3753
32 16777216 3d-mdrange Scale 1192.2569
32 16777216 3d-mdrange Add 1633.2960
32 16777216 3d-mdrange Triad 1597.0126
32 16777216 4d-mdrange Set 734.8034
32 16777216 4d-mdrange Copy 1366.0976
32 16777216 4d-mdrange Scale 1361.9321
32 16777216 4d-mdrange Add 1554.1774
32 16777216 4d-mdrange Triad 1555.1379
32 17210368 5d-mdrange Set 459.6357
32 17210368 5d-mdrange Copy 850.7166
32 17210368 5d-mdrange Scale 844.6599
32 17210368 5d-mdrange Add 1144.4744
32 17210368 5d-mdrange Triad 1145.9636
32 40960000 range Set 1207.4671
32 40960000 range Copy 1665.8575
32 40960000 range Scale 1664.7530
32 40960000 range Add 1726.4610
32 40960000 range Triad 1738.6752
32 40960000 2d-mdrange Set 342.4273
32 40960000 2d-mdrange Copy 684.2111
32 40960000 2d-mdrange Scale 684.0540
32 40960000 2d-mdrange Add 1025.8562
32 40960000 2d-mdrange Triad 1025.8883
32 46656000 3d-mdrange Set 665.8294
32 46656000 3d-mdrange Copy 1330.2351
32 46656000 3d-mdrange Scale 1330.3773
32 46656000 3d-mdrange Add 1624.4748
32 46656000 3d-mdrange Triad 1630.8891
32 40960000 4d-mdrange Set 758.8224
32 40960000 4d-mdrange Copy 1409.0521
32 40960000 4d-mdrange Scale 1403.5629
32 40960000 4d-mdrange Add 1525.7607
32 40960000 4d-mdrange Triad 1542.9529
32 33554432 5d-mdrange Set 588.2408
32 33554432 5d-mdrange Copy 1084.8595
32 33554432 5d-mdrange Scale 1079.6670
32 33554432 5d-mdrange Add 1440.2692
32 33554432 5d-mdrange Triad 1441.1455
32 84934656 range Set 1360.5136
32 84934656 range Copy 1698.4723
32 84934656 range Scale 1686.9582
32 84934656 range Add 1743.9605
32 84934656 range Triad 1747.1294
32 84934656 2d-mdrange Set 309.7906
32 84934656 2d-mdrange Copy 619.1943
32 84934656 2d-mdrange Scale 619.2367
32 84934656 2d-mdrange Add 928.7534
32 84934656 2d-mdrange Triad 928.7704
32 85184000 3d-mdrange Set 606.1505
32 85184000 3d-mdrange Copy 1211.4175
32 85184000 3d-mdrange Scale 1211.4282
32 85184000 3d-mdrange Add 1642.1922
32 85184000 3d-mdrange Triad 1627.8221
32 84934656 4d-mdrange Set 767.6555
32 84934656 4d-mdrange Copy 1424.4015
32 84934656 4d-mdrange Scale 1414.6743
32 84934656 4d-mdrange Add 1532.8514
32 84934656 4d-mdrange Triad 1546.1640
32 102400000 5d-mdrange Set 496.7504
32 102400000 5d-mdrange Copy 917.6002
32 102400000 5d-mdrange Scale 911.5556
32 102400000 5d-mdrange Add 1223.3707
32 102400000 5d-mdrange Triad 1224.4684
32 157351936 range Set 1369.9544
32 157351936 range Copy 1703.2898
32 157351936 range Scale 1694.0853
32 157351936 range Add 1754.6627
32 157351936 range Triad 1755.2915
32 157351936 2d-mdrange Set 344.6785
32 157351936 2d-mdrange Copy 689.1721
32 157351936 2d-mdrange Scale 689.1345
32 157351936 2d-mdrange Add 1033.6452
32 157351936 2d-mdrange Triad 1033.7071
32 157464000 3d-mdrange Set 677.7251
