nt n factor policy kernel bw
96 4096 4 4d-mdrange Set 5.0389
96 4096 4 4d-mdrange Copy 10.7225
96 4096 4 4d-mdrange Scale 9.8580
96 4096 4 4d-mdrange Add 8.7913
96 4096 4 4d-mdrange Triad 10.2198
96 4096 8 2d-mdrange Set 9.5925
96 4096 8 2d-mdrange Copy 20.6348
96 4096 8 2d-mdrange Scale 19.3951
96 4096 8 2d-mdrange Add 28.1270
96 4096 8 2d-mdrange Triad 29.0668
96 4096 8 3d-mdrange Set 5.5258
96 4096 8 3d-mdrange Copy 10.9519
96 4096 8 3d-mdrange Scale 10.2097
96 4096 8 3d-mdrange Add 10.0116
96 4096 8 3d-mdrange Triad 10.0659
96 4096 8 4d-mdrange Set 3.4442
96 4096 8 4d-mdrange Copy 6.6359
96 4096 8 4d-mdrange Scale 6.2403
96 4096 8 4d-mdrange Add 6.0937
96 4096 8 4d-mdrange Triad 5.0500
96 4096 16 2d-mdrange Set 8.0650
96 4096 16 2d-mdrange Copy 17.1202
96 4096 16 2d-mdrange Scale 14.7903
96 4096 16 2d-mdrange Add 22.4387
96 4096 16 2d-mdrange Triad 22.4746
96 4096 16 3d-mdrange Set 3.5498
96 4096 16 3d-mdrange Copy 6.3969
96 4096 16 3d-mdrange Scale 6.4390
96 4096 16 3d-mdrange Add 5.6441
96 4096 16 3d-mdrange Triad 5.2891
96 4096 16 4d-mdrange Set 3.2563
96 4096 16 4d-mdrange Copy 6.8927
96 4096 16 4d-mdrange Scale 6.3875
96 4096 16 4d-mdrange Add 6.0051
96 4096 16 4d-mdrange Triad 5.3232
96 4096 32 2d-mdrange Set 3.4489
96 4096 32 2d-mdrange Copy 7.7567
96 4096 32 2d-mdrange Scale 6.7864
96 4096 32 2d-mdrange Add 9.8679
96 4096 32 2d-mdrange Triad 9.0220
96 4096 32 3d-mdrange Set 3.5863
96 4096 32 3d-mdrange Copy 6.4031
96 4096 32 3d-mdrange Scale 6.7299
96 4096 32 3d-mdrange Add 5.9013
96 4096 32 3d-mdrange Triad 5.6784
96 4096 32 4d-mdrange Set 3.2242
96 4096 32 4d-mdrange Copy 6.9145
96 4096 32 4d-mdrange Scale 6.5132
96 4096 32 4d-mdrange Add 6.0121
96 4096 32 4d-mdrange Triad 6.0663
