nt n factor policy kernel bw
128 4096 4 4d-mdrange Set 0.9755
128 4096 4 4d-mdrange Copy 1.9645
128 4096 4 4d-mdrange Scale 1.9610
128 4096 4 4d-mdrange Add 2.8973
128 4096 4 4d-mdrange Triad 2.9397
128 4096 8 2d-mdrange Set 0.9990
128 4096 8 2d-mdrange Copy 2.0447
128 4096 8 2d-mdrange Scale 1.9980
128 4096 8 2d-mdrange Add 2.9815
128 4096 8 2d-mdrange Triad 2.9744
128 4096 8 3d-mdrange Set 0.9779
128 4096 8 3d-mdrange Copy 2.0066
128 4096 8 3d-mdrange Scale 1.9430
128 4096 8 3d-mdrange Add 2.9136
128 4096 8 3d-mdrange Triad 2.9450
128 4096 8 4d-mdrange Set 0.7137
128 4096 8 4d-mdrange Copy 1.4612
128 4096 8 4d-mdrange Scale 1.4592
128 4096 8 4d-mdrange Add 2.2091
128 4096 8 4d-mdrange Triad 2.4005
128 4096 16 2d-mdrange Set 0.9873
128 4096 16 2d-mdrange Copy 1.9823
128 4096 16 2d-mdrange Scale 2.0165
128 4096 16 2d-mdrange Add 2.9681
128 4096 16 2d-mdrange Triad 2.9493
128 4096 16 3d-mdrange Set 0.6838
128 4096 16 3d-mdrange Copy 1.4100
128 4096 16 3d-mdrange Scale 1.3535
128 4096 16 3d-mdrange Add 2.1104
128 4096 16 3d-mdrange Triad 2.0574
128 4096 16 4d-mdrange Set 0.7369
128 4096 16 4d-mdrange Copy 1.4790
128 4096 16 4d-mdrange Scale 1.3958
128 4096 16 4d-mdrange Add 2.2547
128 4096 16 4d-mdrange Triad 2.1705
128 4096 32 2d-mdrange Set 0.9942
128 4096 32 2d-mdrange Copy 1.9877
128 4096 32 2d-mdrange Scale 2.0054
128 4096 32 2d-mdrange Add 2.9907
128 4096 32 2d-mdrange Triad 2.9698
128 4096 32 3d-mdrange Set 0.6808
128 4096 32 3d-mdrange Copy 1.4173
128 4096 32 3d-mdrange Scale 1.3569
128 4096 32 3d-mdrange Add 2.0934
128 4096 32 3d-mdrange Triad 2.0527
128 4096 32 4d-mdrange Set 0.7345
128 4096 32 4d-mdrange Copy 1.4710
128 4096 32 4d-mdrange Scale 1.4388
128 4096 32 4d-mdrange Add 2.1676
128 4096 32 4d-mdrange Triad 2.2898
128 4096 64 2d-mdrange Set 0.8200
128 4096 64 2d-mdrange Copy 1.6466
128 4096 64 2d-mdrange Scale 1.6740
128 4096 64 2d-mdrange Add 2.5362
128 4096 64 2d-mdrange Triad 2.4706
128 4096 64 3d-mdrange Set 0.6791
128 4096 64 3d-mdrange Copy 1.4061
128 4096 64 3d-mdrange Scale 1.3938
128 4096 64 3d-mdrange Add 2.0730
128 4096 64 3d-mdrange Triad 2.0858
128 4096 64 4d-mdrange Set 0.7392
128 4096 64 4d-mdrange Copy 1.4586
128 4096 64 4d-mdrange Scale 1.4142
128 4096 64 4d-mdrange Add 2.1739
128 4096 64 4d-mdrange Triad 2.2221
128 20736 1 2d-mdrange Set 4.9401
128 20736 1 2d-mdrange Copy 9.9659
128 20736 1 2d-mdrange Scale 10.0936
128 20736 1 2d-mdrange Add 14.8114
128 20736 1 2d-mdrange Triad 14.9269
128 32768 1 3d-mdrange Set 7.7101
128 32768 1 3d-mdrange Copy 15.7349
128 32768 1 3d-mdrange Scale 15.8443
128 32768 1 3d-mdrange Add 23.4756
128 32768 1 3d-mdrange Triad 23.0220
128 20736 1 4d-mdrange Set 4.8491
128 20736 1 4d-mdrange Copy 9.9993
128 20736 1 4d-mdrange Scale 10.0231
128 20736 1 4d-mdrange Add 14.8247
128 20736 1 4d-mdrange Triad 14.6717
128 20736 2 2d-mdrange Set 5.0269
128 20736 2 2d-mdrange Copy 10.1306
128 20736 2 2d-mdrange Scale 10.0569
128 20736 2 2d-mdrange Add 15.0216
128 20736 2 2d-mdrange Triad 14.8552
128 32768 2 3d-mdrange Set 7.5372
128 32768 2 3d-mdrange Copy 15.2272
128 32768 2 3d-mdrange Scale 15.1963
128 32768 2 3d-mdrange Add 22.7358
128 32768 2 3d-mdrange Triad 22.7286
128 20736 2 4d-mdrange Set 4.7409
128 20736 2 4d-mdrange Copy 9.5723
128 20736 2 4d-mdrange Scale 9.7264
128 20736 2 4d-mdrange Add 14.4502
128 20736 2 4d-mdrange Triad 14.4209
128 20736 4 2d-mdrange Set 4.7958
128 20736 4 2d-mdrange Copy 9.8740
128 20736 4 2d-mdrange Scale 9.9097
128 20736 4 2d-mdrange Add 14.6631
128 20736 4 2d-mdrange Triad 14.3048
128 32768 4 3d-mdrange Set 7.6648
128 32768 4 3d-mdrange Copy 15.4520
128 32768 4 3d-mdrange Scale 15.5853
128 32768 4 3d-mdrange Add 23.2329
128 32768 4 3d-mdrange Triad 23.0625
128 20736 4 4d-mdrange Set 4.8534
128 20736 4 4d-mdrange Copy 9.5640
128 20736 4 4d-mdrange Scale 9.6388
128 20736 4 4d-mdrange Add 14.2884
128 20736 4 4d-mdrange Triad 14.4880
128 20736 8 2d-mdrange Set 5.0161
128 20736 8 2d-mdrange Copy 9.9782
128 20736 8 2d-mdrange Scale 10.1120
128 20736 8 2d-mdrange Add 15.1312
128 20736 8 2d-mdrange Triad 15.0940
128 32768 8 3d-mdrange Set 7.8864
128 32768 8 3d-mdrange Copy 15.3521
128 32768 8 3d-mdrange Scale 15.5529
128 32768 8 3d-mdrange Add 22.9816
128 32768 8 3d-mdrange Triad 23.1849
128 20736 8 4d-mdrange Set 2.5655
128 20736 8 4d-mdrange Copy 5.5620
128 20736 8 4d-mdrange Scale 5.5509
128 20736 8 4d-mdrange Add 8.1558
128 20736 8 4d-mdrange Triad 8.4193
128 20736 16 2d-mdrange Set 4.9194
128 20736 16 2d-mdrange Copy 9.9662
128 20736 16 2d-mdrange Scale 9.9600
128 20736 16 2d-mdrange Add 14.7107
128 20736 16 2d-mdrange Triad 14.5431
128 32768 16 3d-mdrange Set 6.2503
128 32768 16 3d-mdrange Copy 12.0277
128 32768 16 3d-mdrange Scale 12.2041
128 32768 16 3d-mdrange Add 18.4392
128 32768 16 3d-mdrange Triad 18.9547
128 20736 16 4d-mdrange Set 2.4010
128 20736 16 4d-mdrange Copy 5.1082
128 20736 16 4d-mdrange Scale 4.7288
128 20736 16 4d-mdrange Add 7.1248
128 20736 16 4d-mdrange Triad 7.7553
128 20736 32 2d-mdrange Set 4.8733
128 20736 32 2d-mdrange Copy 9.7266
128 20736 32 2d-mdrange Scale 9.7840
128 20736 32 2d-mdrange Add 14.1987
128 20736 32 2d-mdrange Triad 14.2839
128 32768 32 3d-mdrange Set 2.4214
128 32768 32 3d-mdrange Copy 6.8948
128 32768 32 3d-mdrange Scale 5.9687
128 32768 32 3d-mdrange Add 8.9448
128 32768 32 3d-mdrange Triad 8.4598
128 20736 32 4d-mdrange Set 2.2536
128 20736 32 4d-mdrange Copy 4.7690
128 20736 32 4d-mdrange Scale 4.7724
128 20736 32 4d-mdrange Add 7.2145
