nt n policy kernel bw
128 192 range Set 162.4326
128 192 range Copy 214.0988
128 192 range Scale 216.1265
128 192 range Add 242.1443
128 192 range Triad 242.7225
128 192 mdrange Set 38.4003
128 192 mdrange Copy 48.4598
128 192 mdrange Scale 46.3938
128 192 mdrange Add 47.4758
128 192 mdrange Triad 49.6286
