nt n policy kernel bw
64 256 range Set 0.1232
64 256 range Copy 0.2475
64 256 range Scale 0.2475
64 256 range Add 0.3605
64 256 range Triad 0.3605
64 256 2d-mdrange Set 0.1403
64 256 2d-mdrange Copy 0.2793
64 256 2d-mdrange Scale 0.2793
64 256 2d-mdrange Add 0.4209
64 256 2d-mdrange Triad 0.4189
64 512 3d-mdrange Set 0.2715
64 512 3d-mdrange Copy 0.5585
64 512 3d-mdrange Scale 0.5586
64 512 3d-mdrange Add 0.8378
64 512 3d-mdrange Triad 0.7890
64 256 4d-mdrange Set 0.1396
64 256 4d-mdrange Copy 0.2903
64 256 4d-mdrange Scale 0.2793
64 256 4d-mdrange Add 0.4035
64 256 4d-mdrange Triad 0.4312
64 256 4d-mdrange-tiling Set 0.1444
64 256 4d-mdrange-tiling Copy 0.2806
64 256 4d-mdrange-tiling Scale 0.2806
64 256 4d-mdrange-tiling Add 0.4073
64 256 4d-mdrange-tiling Triad 0.4169
64 256 4d-openmp Set 0.1496
64 256 4d-openmp Copy 0.2977
64 256 4d-openmp Scale 0.3008
64 256 4d-openmp Add 0.4355
64 256 4d-openmp Triad 0.4355
64 256 4d-openmp-simd Set 0.1496
64 256 4d-openmp-simd Copy 0.2992
64 256 4d-openmp-simd Scale 0.2992
64 256 4d-openmp-simd Add 0.4465
64 256 4d-openmp-simd Triad 0.4488
64 1024 5d-mdrange Set 0.5430
64 1024 5d-mdrange Copy 1.1171
64 1024 5d-mdrange Scale 1.0861
64 1024 5d-mdrange Add 1.6757
64 1024 5d-mdrange Triad 1.6837
64 4096 range Set 2.2341
64 4096 range Copy 4.3442
64 4096 range Scale 4.4470
64 4096 range Add 6.7024
64 4096 range Triad 6.4866
64 4096 2d-mdrange Set 2.2341
64 4096 2d-mdrange Copy 4.3444
64 4096 2d-mdrange Scale 4.4686
64 4096 2d-mdrange Add 6.3121
64 4096 2d-mdrange Triad 6.4866
64 4096 3d-mdrange Set 2.1622
64 4096 3d-mdrange Copy 4.4686
64 4096 3d-mdrange Scale 4.4686
64 4096 3d-mdrange Add 6.7024
64 4096 3d-mdrange Triad 6.5162
64 4096 4d-mdrange Set 2.2448
64 4096 4d-mdrange Copy 4.4683
64 4096 4d-mdrange Scale 4.4683
64 4096 4d-mdrange Add 6.5162
64 4096 4d-mdrange Triad 6.5167
64 4096 4d-mdrange-tiling Set 2.2341
64 4096 4d-mdrange-tiling Copy 4.4897
64 4096 4d-mdrange-tiling Scale 4.4686
64 4096 4d-mdrange-tiling Add 6.5162
64 4096 4d-mdrange-tiling Triad 6.7029
64 4096 4d-openmp Set 2.4693
64 4096 4d-openmp Copy 4.8121
64 4096 4d-openmp Scale 4.8121
64 4096 4d-openmp Add 7.1818
64 4096 4d-openmp Triad 7.1812
64 4096 4d-openmp-simd Set 2.4061
64 4096 4d-openmp-simd Copy 4.7875
64 4096 4d-openmp-simd Scale 4.8121
64 4096 4d-openmp-simd Add 7.1818
64 4096 4d-openmp-simd Triad 7.1812
64 7776 5d-mdrange Set 3.9943
64 7776 5d-mdrange Copy 7.9882
64 7776 5d-mdrange Scale 7.7119
64 7776 5d-mdrange Add 11.2750
64 7776 5d-mdrange Triad 11.5671
64 20736 range Set 11.3111
64 20736 range Copy 22.6206
64 20736 range Scale 21.8922
64 20736 range Add 34.9311
64 20736 range Triad 33.7697
64 20736 2d-mdrange Set 10.9969
64 20736 2d-mdrange Copy 21.9923
64 20736 2d-mdrange Scale 21.3032
64 20736 2d-mdrange Add 31.9548
64 20736 2d-mdrange Triad 30.9820
64 32768 3d-mdrange Set 15.8376
64 32768 3d-mdrange Copy 30.0279
64 32768 3d-mdrange Scale 30.8932
64 32768 3d-mdrange Add 45.0419
64 32768 3d-mdrange Triad 44.8621
64 20736 4d-mdrange Set 10.6990
64 20736 4d-mdrange Copy 21.2079
64 20736 4d-mdrange Scale 20.6547
64 20736 4d-mdrange Add 30.9801
64 20736 4d-mdrange Triad 30.9820
64 20736 4d-mdrange-tiling Set 10.9454
64 20736 4d-mdrange-tiling Copy 21.8922
64 20736 4d-mdrange-tiling Scale 21.8907
64 20736 4d-mdrange-tiling Add 32.9907
64 20736 4d-mdrange-tiling Triad 31.9548
64 20736 4d-openmp Set 12.1806
64 20736 4d-openmp Copy 24.1151
64 20736 4d-openmp Scale 23.4024
64 20736 4d-openmp Add 35.1011
64 20736 4d-openmp Triad 35.1011
64 20736 4d-openmp-simd Set 12.1183
64 20736 4d-openmp-simd Copy 23.4024
64 20736 4d-openmp-simd Scale 23.4024
64 20736 4d-openmp-simd Add 35.2753
64 20736 4d-openmp-simd Triad 35.1036
64 32768 5d-mdrange Set 16.3197
64 32768 5d-mdrange Copy 31.5418
64 32768 5d-mdrange Scale 31.6752
64 32768 5d-mdrange Add 46.1494
64 32768 5d-mdrange Triad 45.9606
64 65536 range Set 34.5951
64 65536 range Copy 67.3286
64 65536 range Scale 69.1901
64 65536 range Add 100.9929
64 65536 range Triad 104.2598
64 65536 2d-mdrange Set 32.6395
64 65536 2d-mdrange Copy 67.0231
64 65536 2d-mdrange Scale 65.2790
64 65536 2d-mdrange Add 95.0256
64 65536 2d-mdrange Triad 92.2988
64 64000 3d-mdrange Set 27.7687
64 64000 3d-mdrange Copy 51.6259
64 64000 3d-mdrange Scale 54.3034
64 64000 3d-mdrange Add 79.3963
64 64000 3d-mdrange Triad 80.8549
64 65536 4d-mdrange Set 29.0964
64 65536 4d-mdrange Copy 52.8649
64 65536 4d-mdrange Scale 52.6790
64 65536 4d-mdrange Add 83.4057
64 65536 4d-mdrange Triad 83.1016
64 65536 4d-mdrange-tiling Set 32.6395
64 65536 4d-mdrange-tiling Copy 65.2790
64 65536 4d-mdrange-tiling Scale 64.9957
64 65536 4d-mdrange-tiling Add 87.9678
64 65536 4d-mdrange-tiling Triad 85.6307
64 65536 4d-openmp Set 36.9816
64 65536 4d-openmp Copy 71.8350
64 65536 4d-openmp Scale 71.4971
64 65536 4d-openmp Add 104.2598
64 65536 4d-openmp Triad 103.7783
64 65536 4d-openmp-simd Set 36.7999
64 65536 4d-openmp-simd Copy 71.8350
64 65536 4d-openmp-simd Scale 71.8400
