nt n factor policy kernel bw
32 4096 8 2d-mdrange Set 3.0313
32 4096 8 2d-mdrange Copy 5.5775
32 4096 8 2d-mdrange Scale 5.5633
32 4096 8 2d-mdrange Add 8.5259
32 4096 8 2d-mdrange Triad 8.2747
32 4096 8 3d-mdrange Set 2.8322
32 4096 8 3d-mdrange Copy 5.4387
32 4096 8 3d-mdrange Scale 5.4117
32 4096 8 3d-mdrange Add 8.1109
32 4096 8 3d-mdrange Triad 8.0842
32 4096 8 4d-mdrange Set 2.7261
32 4096 8 4d-mdrange Copy 5.2894
32 4096 8 4d-mdrange Scale 5.3066
32 4096 8 4d-mdrange Add 7.7895
32 4096 8 4d-mdrange Triad 8.0117
32 4096 16 2d-mdrange Set 2.9816
32 4096 16 2d-mdrange Copy 5.6302
32 4096 16 2d-mdrange Scale 5.6206
32 4096 16 2d-mdrange Add 8.3308
32 4096 16 2d-mdrange Triad 8.4884
32 4096 16 3d-mdrange Set 2.8444
32 4096 16 3d-mdrange Copy 5.4842
32 4096 16 3d-mdrange Scale 5.4613
32 4096 16 3d-mdrange Add 8.1648
32 4096 16 3d-mdrange Triad 8.2747
32 4096 16 4d-mdrange Set 2.7421
32 4096 16 4d-mdrange Copy 5.2809
32 4096 16 4d-mdrange Scale 5.3718
32 4096 16 4d-mdrange Add 7.7895
32 4096 16 4d-mdrange Triad 7.9405
32 4096 32 2d-mdrange Set 2.9050
32 4096 32 2d-mdrange Copy 5.5119
32 4096 32 2d-mdrange Scale 5.5211
32 4096 32 2d-mdrange Add 8.0975
32 4096 32 2d-mdrange Triad 8.2747
32 4096 32 3d-mdrange Set 2.7746
32 4096 32 3d-mdrange Copy 5.4837
32 4096 32 3d-mdrange Scale 5.3542
32 4096 32 3d-mdrange Add 7.8706
32 4096 32 3d-mdrange Triad 8.2332
32 4096 32 4d-mdrange Set 2.6903
32 4096 32 4d-mdrange Copy 5.1441
32 4096 32 4d-mdrange Scale 5.1522
32 4096 32 4d-mdrange Add 7.5560
32 4096 32 4d-mdrange Triad 7.7588
32 4096 64 2d-mdrange Set 2.9283
32 4096 64 2d-mdrange Copy 5.5216
32 4096 64 2d-mdrange Scale 5.4796
32 4096 64 2d-mdrange Add 8.2678
32 4096 64 2d-mdrange Triad 8.3592
32 4096 64 3d-mdrange Set 2.7699
32 4096 64 3d-mdrange Copy 5.4432
32 4096 64 3d-mdrange Scale 5.3455
32 4096 64 3d-mdrange Add 7.8580
32 4096 64 3d-mdrange Triad 8.1852
32 20736 1 2d-mdrange Set 14.5772
32 20736 1 2d-mdrange Copy 27.9744
32 20736 1 2d-mdrange Scale 27.9744
32 20736 1 2d-mdrange Add 41.8205
32 20736 1 2d-mdrange Triad 41.4030
32 32768 1 3d-mdrange Set 23.2397
32 32768 1 3d-mdrange Copy 44.9223
32 32768 1 3d-mdrange Scale 44.6203
32 32768 1 3d-mdrange Add 65.8653
32 32768 1 3d-mdrange Triad 65.1559
32 20736 1 4d-mdrange Set 13.4759
32 20736 1 4d-mdrange Copy 26.5209
32 20736 1 4d-mdrange Scale 26.1447
32 20736 1 4d-mdrange Add 38.4891
32 20736 1 4d-mdrange Triad 38.5159
32 20736 2 2d-mdrange Set 14.6674
32 20736 2 2d-mdrange Copy 27.7869
