nt n factor policy kernel bw
7 4096 8 3d-mdrange Set 3.8931
7 4096 8 3d-mdrange Copy 5.1583
7 4096 8 3d-mdrange Scale 5.1300
7 4096 8 3d-mdrange Add 7.4608
7 4096 8 3d-mdrange Triad 7.4214
7 4096 8 4d-mdrange Set 2.9652
7 4096 8 4d-mdrange Copy 4.8922
7 4096 8 4d-mdrange Scale 4.9331
7 4096 8 4d-mdrange Add 7.0993
7 4096 8 4d-mdrange Triad 7.0383
7 4096 16 2d-mdrange Set 3.9070
7 4096 16 2d-mdrange Copy 5.2492
7 4096 16 2d-mdrange Scale 5.2877
7 4096 16 2d-mdrange Add 7.5764
7 4096 16 2d-mdrange Triad 7.6353
7 4096 16 3d-mdrange Set 3.8797
7 4096 16 3d-mdrange Copy 5.1869
7 4096 16 3d-mdrange Scale 5.1140
7 4096 16 3d-mdrange Add 7.4501
7 4096 16 3d-mdrange Triad 7.5242
7 4096 16 4d-mdrange Set 3.5785
7 4096 16 4d-mdrange Copy 4.9179
7 4096 16 4d-mdrange Scale 4.8668
7 4096 16 4d-mdrange Add 7.0840
7 4096 16 4d-mdrange Triad 7.0840
7 4096 32 2d-mdrange Set 3.8977
7 4096 32 2d-mdrange Copy 5.3264
7 4096 32 2d-mdrange Scale 5.1750
7 4096 32 2d-mdrange Add 7.5410
7 4096 32 2d-mdrange Triad 7.5415
7 4096 32 3d-mdrange Set 3.8614
7 4096 32 3d-mdrange Copy 5.1542
7 4096 32 3d-mdrange Scale 5.1021
7 4096 32 3d-mdrange Add 7.4102
7 4096 32 3d-mdrange Triad 7.4383
7 4096 64 2d-mdrange Set 3.9309
7 4096 64 2d-mdrange Copy 5.2033
7 4096 64 2d-mdrange Scale 5.2199
7 4096 64 2d-mdrange Add 7.5881
7 4096 64 2d-mdrange Triad 7.5242
7 4096 64 3d-mdrange Set 3.7983
7 4096 64 3d-mdrange Copy 5.0941
7 4096 64 3d-mdrange Scale 5.0981
7 4096 64 3d-mdrange Add 7.3713
7 4096 64 3d-mdrange Triad 7.3268
7 20736 1 2d-mdrange Set 18.9868
7 20736 1 2d-mdrange Copy 26.0748
7 20736 1 2d-mdrange Scale 26.1138
7 20736 1 2d-mdrange Add 38.7740
7 20736 1 2d-mdrange Triad 38.8648
7 32768 1 3d-mdrange Set 30.0727
7 32768 1 3d-mdrange Copy 40.4387
7 32768 1 3d-mdrange Scale 40.5639
7 32768 1 3d-mdrange Add 57.5424
7 32768 1 3d-mdrange Triad 57.5466
7 20736 1 4d-mdrange Set 14.7561
7 20736 1 4d-mdrange Copy 24.9362
7 20736 1 4d-mdrange Scale 24.4907
7 20736 1 4d-mdrange Add 34.8577
7 20736 1 4d-mdrange Triad 34.9311
7 20736 2 2d-mdrange Set 18.0745
7 20736 2 2d-mdrange Copy 26.1963
7 20736 2 2d-mdrange Scale 26.2191
7 20736 2 2d-mdrange Add 38.5040
7 20736 2 2d-mdrange Triad 38.4742
7 32768 2 3d-mdrange Set 29.5607
7 32768 2 3d-mdrange Copy 40.4076
7 32768 2 3d-mdrange Scale 40.3454
7 32768 2 3d-mdrange Add 56.4276
7 32768 2 3d-mdrange Triad 57.6732
7 20736 2 4d-mdrange Set 14.5746
7 20736 2 4d-mdrange Copy 24.6747
7 20736 2 4d-mdrange Scale 24.5106
7 20736 2 4d-mdrange Add 34.3004
7 20736 2 4d-mdrange Triad 34.6370
7 20736 4 2d-mdrange Set 19.5692
7 20736 4 2d-mdrange Copy 26.3440
7 20736 4 2d-mdrange Scale 26.2793
7 20736 4 2d-mdrange Add 38.4415
7 20736 4 2d-mdrange Triad 38.6836
7 32768 4 3d-mdrange Set 30.3900
7 32768 4 3d-mdrange Copy 39.8516
7 32768 4 3d-mdrange Scale 39.6707
7 32768 4 3d-mdrange Add 54.8113
7 32768 4 3d-mdrange Triad 56.5494
7 20736 4 4d-mdrange Set 14.8088
7 20736 4 4d-mdrange Copy 24.7668
7 20736 4 4d-mdrange Scale 24.5288
7 20736 4 4d-mdrange Add 34.9311
7 20736 4 4d-mdrange Triad 35.1532
7 20736 8 2d-mdrange Set 19.6410
7 20736 8 2d-mdrange Copy 26.5124
7 20736 8 2d-mdrange Scale 26.2793
7 20736 8 2d-mdrange Add 38.5010
7 20736 8 2d-mdrange Triad 38.7438
7 32768 8 3d-mdrange Set 28.5342
7 32768 8 3d-mdrange Copy 37.6996
7 32768 8 3d-mdrange Scale 37.6996
7 32768 8 3d-mdrange Add 50.5094
7 32768 8 3d-mdrange Triad 52.5725
7 20736 8 4d-mdrange Set 15.0780
7 20736 8 4d-mdrange Copy 24.2953
7 20736 8 4d-mdrange Scale 24.5469
7 20736 8 4d-mdrange Add 34.4690
7 20736 8 4d-mdrange Triad 34.9778
7 20736 16 2d-mdrange Set 19.2512
7 20736 16 2d-mdrange Copy 25.5901
7 20736 16 2d-mdrange Scale 25.5095
7 20736 16 2d-mdrange Add 37.8567
7 20736 16 2d-mdrange Triad 38.0303
