nt n policy kernel bw
48 5832000 3d-mdrange Add 402.4231
48 5832000 3d-mdrange Triad 368.4222
48 5308416 4d-mdrange Set 217.9130
48 5308416 4d-mdrange Copy 239.5414
48 5308416 4d-mdrange Scale 231.2714
48 5308416 4d-mdrange Add 227.6161
48 5308416 4d-mdrange Triad 242.5910
48 3200000 5d-mdrange Set 484.0509
48 3200000 5d-mdrange Copy 259.4823
48 3200000 5d-mdrange Scale 248.7345
48 3200000 5d-mdrange Add 298.2941
48 3200000 5d-mdrange Triad 241.9507
48 16777216 range Set 320.3830
48 16777216 range Copy 250.7821
48 16777216 range Scale 233.7726
48 16777216 range Add 231.9512
48 16777216 range Triad 255.9256
48 16777216 2d-mdrange Set 255.1479
48 16777216 2d-mdrange Copy 207.5074
48 16777216 2d-mdrange Scale 188.3844
48 16777216 2d-mdrange Add 198.6083
48 16777216 2d-mdrange Triad 189.5604
48 16777216 3d-mdrange Set 152.3863
48 16777216 3d-mdrange Copy 140.0947
48 16777216 3d-mdrange Scale 126.4853
48 16777216 3d-mdrange Add 147.5439
48 16777216 3d-mdrange Triad 139.1841
48 16777216 4d-mdrange Set 110.1013
48 16777216 4d-mdrange Copy 116.4782
48 16777216 4d-mdrange Scale 111.7168
48 16777216 4d-mdrange Add 114.9089
48 16777216 4d-mdrange Triad 125.2539
48 17210368 5d-mdrange Set 134.6198
48 17210368 5d-mdrange Copy 89.4644
48 17210368 5d-mdrange Scale 98.6193
48 17210368 5d-mdrange Add 99.5151
48 17210368 5d-mdrange Triad 97.3823
48 40960000 range Set 168.8742
48 40960000 range Copy 187.7437
48 40960000 range Scale 179.4518
48 40960000 range Add 230.1524
48 40960000 range Triad 229.4658
48 40960000 2d-mdrange Set 157.2206
48 40960000 2d-mdrange Copy 168.2917
48 40960000 2d-mdrange Scale 164.3412
48 40960000 2d-mdrange Add 181.9801
48 40960000 2d-mdrange Triad 171.3224
48 46656000 3d-mdrange Set 125.9800
48 46656000 3d-mdrange Copy 130.8009
48 46656000 3d-mdrange Scale 132.4766
48 46656000 3d-mdrange Add 148.1369
48 46656000 3d-mdrange Triad 145.5936
48 40960000 4d-mdrange Set 106.9255
48 40960000 4d-mdrange Copy 102.9632
48 40960000 4d-mdrange Scale 108.8942
48 40960000 4d-mdrange Add 106.1797
48 40960000 4d-mdrange Triad 113.0478
48 33554432 5d-mdrange Set 74.0797
48 33554432 5d-mdrange Copy 90.1319
48 33554432 5d-mdrange Scale 94.5204
48 33554432 5d-mdrange Add 100.0251
48 33554432 5d-mdrange Triad 98.9900
48 84934656 range Set 138.3115
48 84934656 range Copy 185.7408
48 84934656 range Scale 181.3382
48 84934656 range Add 221.4570
48 84934656 range Triad 219.7869
48 84934656 2d-mdrange Set 137.3899
48 84934656 2d-mdrange Copy 162.4905
48 84934656 2d-mdrange Scale 165.0177
48 84934656 2d-mdrange Add 186.8596
48 84934656 2d-mdrange Triad 183.9849
48 85184000 3d-mdrange Set 107.2968
48 85184000 3d-mdrange Copy 129.7323
48 85184000 3d-mdrange Scale 131.2611
48 85184000 3d-mdrange Add 149.9523
48 85184000 3d-mdrange Triad 145.7972
48 84934656 4d-mdrange Set 85.4313
48 84934656 4d-mdrange Copy 104.9004
48 84934656 4d-mdrange Scale 110.8764
48 84934656 4d-mdrange Add 120.8406
48 84934656 4d-mdrange Triad 117.7203
48 102400000 5d-mdrange Set 92.8810
48 102400000 5d-mdrange Copy 98.2204
