nt n policy kernel bw
48 100000 5d-mdrange Scale 164.2036
48 100000 5d-mdrange Add 217.7858
48 100000 5d-mdrange Triad 199.4349
48 331776 range Set 290.5537
48 331776 range Copy 429.4140
48 331776 range Scale 383.1685
48 331776 range Add 568.0285
48 331776 range Triad 439.1960
48 331776 2d-mdrange Set 707.0346
48 331776 2d-mdrange Copy 1186.5034
48 331776 2d-mdrange Scale 1050.9634
48 331776 2d-mdrange Add 1604.0741
48 331776 2d-mdrange Triad 1502.6654
48 262144 3d-mdrange Set 234.3972
48 262144 3d-mdrange Copy 419.0114
48 262144 3d-mdrange Scale 385.9671
48 262144 3d-mdrange Add 553.1437
48 262144 3d-mdrange Triad 480.7042
48 331776 4d-mdrange Set 342.5226
48 331776 4d-mdrange Copy 360.9449
48 331776 4d-mdrange Scale 347.7736
48 331776 4d-mdrange Add 372.7471
48 331776 4d-mdrange Triad 369.9416
48 331776 4d-mdrange-tiling Set 547.1466
48 331776 4d-mdrange-tiling Copy 910.6907
48 331776 4d-mdrange-tiling Scale 747.2432
48 331776 4d-mdrange-tiling Add 931.1921
48 331776 4d-mdrange-tiling Triad 902.1781
48 331776 4d-openmp Set 564.3649
48 331776 4d-openmp Copy 943.8862
48 331776 4d-openmp Scale 842.6057
48 331776 4d-openmp Add 1118.1890
48 331776 4d-openmp Triad 995.8259
48 331776 4d-openmp-simd Set 653.4239
48 331776 4d-openmp-simd Copy 1027.9659
48 331776 4d-openmp-simd Scale 956.1268
48 331776 4d-openmp-simd Add 1133.6310
48 331776 4d-openmp-simd Triad 1025.7148
48 248832 5d-mdrange Set 267.1304
48 248832 5d-mdrange Copy 285.2760
48 248832 5d-mdrange Scale 263.8553
48 248832 5d-mdrange Add 332.1451
48 248832 5d-mdrange Triad 300.8397
48 1048576 range Set 248.6471
48 1048576 range Copy 338.6326
48 1048576 range Scale 344.4448
48 1048576 range Add 437.5371
48 1048576 range Triad 462.3861
48 1048576 2d-mdrange Set 1065.3553
48 1048576 2d-mdrange Copy 1708.3002
48 1048576 2d-mdrange Scale 1397.7519
48 1048576 2d-mdrange Add 1778.7549
48 1048576 2d-mdrange Triad 1740.9771
48 2097152 3d-mdrange Set 306.6965
48 2097152 3d-mdrange Copy 324.8377
48 2097152 3d-mdrange Scale 317.1257
48 2097152 3d-mdrange Add 377.5506
48 2097152 3d-mdrange Triad 340.6495
48 1048576 4d-mdrange Set 297.4789
48 1048576 4d-mdrange Copy 264.7501
48 1048576 4d-mdrange Scale 247.4954
48 1048576 4d-mdrange Add 294.9512
48 1048576 4d-mdrange Triad 219.1859
48 1048576 4d-mdrange-tiling Set 969.1091
48 1048576 4d-mdrange-tiling Copy 1142.8621
48 1048576 4d-mdrange-tiling Scale 911.6566
48 1048576 4d-mdrange-tiling Add 1092.5512
48 1048576 4d-mdrange-tiling Triad 1039.5664
48 1048576 4d-openmp Set 1437.1437
48 1048576 4d-openmp Copy 2397.0876
48 1048576 4d-openmp Scale 1576.0654
48 1048576 4d-openmp Add 2103.2866
48 1048576 4d-openmp Triad 1630.5445
