nt n policy kernel bw
64 100000 5d-mdrange Scale 79.1296
64 100000 5d-mdrange Add 110.1928
64 100000 5d-mdrange Triad 112.4649
64 331776 range Set 243.5053
64 331776 range Copy 447.5899
64 331776 range Scale 446.4606
64 331776 range Add 637.5199
64 331776 range Triad 611.0993
64 331776 2d-mdrange Set 189.3158
64 331776 2d-mdrange Copy 349.9285
64 331776 2d-mdrange Scale 327.6800
64 331776 2d-mdrange Add 488.5045
64 331776 2d-mdrange Triad 439.9240
64 262144 3d-mdrange Set 113.7284
64 262144 3d-mdrange Copy 157.9776
64 262144 3d-mdrange Scale 188.0854
64 262144 3d-mdrange Add 264.0252
64 262144 3d-mdrange Triad 260.7317
64 331776 4d-mdrange Set 107.8070
64 331776 4d-mdrange Copy 133.1431
64 331776 4d-mdrange Scale 154.3144
64 331776 4d-mdrange Add 219.0543
64 331776 4d-mdrange Triad 222.3017
64 331776 4d-mdrange-tiling Set 163.4365
64 331776 4d-mdrange-tiling Copy 329.3062
64 331776 4d-mdrange-tiling Scale 328.8981
64 331776 4d-mdrange-tiling Add 440.1672
64 331776 4d-mdrange-tiling Triad 426.0594
64 331776 4d-openmp Set 205.2752
64 331776 4d-openmp Copy 369.4096
64 331776 4d-openmp Scale 329.3062
64 331776 4d-openmp Add 509.4449
64 331776 4d-openmp Triad 467.0161
64 331776 4d-openmp-simd Set 213.1894
64 331776 4d-openmp-simd Copy 352.7187
64 331776 4d-openmp-simd Scale 376.2166
64 331776 4d-openmp-simd Add 509.7711
64 331776 4d-openmp-simd Triad 463.7521
64 248832 5d-mdrange Set 114.6691
64 248832 5d-mdrange Copy 125.7918
64 248832 5d-mdrange Scale 126.6724
64 248832 5d-mdrange Add 180.3130
64 248832 5d-mdrange Triad 180.6403
64 1048576 range Set 650.7842
64 1048576 range Copy 1149.9120
64 1048576 range Scale 1087.3115
64 1048576 range Add 1494.4076
64 1048576 range Triad 1392.6853
64 1048576 2d-mdrange Set 324.2601
64 1048576 2d-mdrange Copy 600.4945
64 1048576 2d-mdrange Scale 502.6279
64 1048576 2d-mdrange Add 730.2909
64 1048576 2d-mdrange Triad 644.2863
64 2097152 3d-mdrange Set 187.2269
64 2097152 3d-mdrange Copy 233.3751
64 2097152 3d-mdrange Scale 267.3447
64 2097152 3d-mdrange Add 326.6401
64 2097152 3d-mdrange Triad 327.6373
64 1048576 4d-mdrange Set 102.8028
64 1048576 4d-mdrange Copy 130.7054
64 1048576 4d-mdrange Scale 135.6173
64 1048576 4d-mdrange Add 198.4530
64 1048576 4d-mdrange Triad 193.2577
64 1048576 4d-mdrange-tiling Set 248.2571
64 1048576 4d-mdrange-tiling Copy 528.7493
64 1048576 4d-mdrange-tiling Scale 513.2217
64 1048576 4d-mdrange-tiling Add 625.8598
64 1048576 4d-mdrange-tiling Triad 570.7830
64 1048576 4d-openmp Set 340.3224
64 1048576 4d-openmp Copy 596.8416
64 1048576 4d-openmp Scale 488.2775
64 1048576 4d-openmp Add 764.4539
64 1048576 4d-openmp Triad 655.3600
64 1048576 4d-openmp-simd Set 358.1814
64 1048576 4d-openmp-simd Copy 508.7088
64 1048576 4d-openmp-simd Scale 587.4375
64 1048576 4d-openmp-simd Add 761.0095
64 1048576 4d-openmp-simd Triad 667.1745
64 1048576 5d-mdrange Set 147.5335
64 1048576 5d-mdrange Copy 143.5914
64 1048576 5d-mdrange Scale 179.7238
64 1048576 5d-mdrange Add 234.5589
64 1048576 5d-mdrange Triad 231.3248
64 5308416 range Set 639.7705
64 5308416 range Copy 683.8044
64 5308416 range Scale 666.1071
64 5308416 range Add 682.9777
64 5308416 range Triad 686.1410
64 5308416 2d-mdrange Set 460.0512
64 5308416 2d-mdrange Copy 601.8228
64 5308416 2d-mdrange Scale 562.7831
64 5308416 2d-mdrange Add 600.6723
64 5308416 2d-mdrange Triad 581.7203
64 5832000 3d-mdrange Set 247.8551
64 5832000 3d-mdrange Copy 304.1678
64 5832000 3d-mdrange Scale 316.5490
64 5832000 3d-mdrange Add 463.5654
64 5832000 3d-mdrange Triad 447.0550
64 5308416 4d-mdrange Set 205.0779
64 5308416 4d-mdrange Copy 249.5084
64 5308416 4d-mdrange Scale 284.9124
64 5308416 4d-mdrange Add 346.5796
64 5308416 4d-mdrange Triad 343.3942
64 5308416 4d-mdrange-tiling Set 328.4403
64 5308416 4d-mdrange-tiling Copy 669.4621
64 5308416 4d-mdrange-tiling Scale 641.4520
64 5308416 4d-mdrange-tiling Add 693.1970
64 5308416 4d-mdrange-tiling Triad 677.5296
64 5308416 4d-openmp Set 566.6844
64 5308416 4d-openmp Copy 844.3732
64 5308416 4d-openmp Scale 658.0511
64 5308416 4d-openmp Add 899.0966
64 5308416 4d-openmp Triad 827.5597
64 5308416 4d-openmp-simd Set 565.3265
64 5308416 4d-openmp-simd Copy 671.5848
64 5308416 4d-openmp-simd Scale 833.0276
64 5308416 4d-openmp-simd Add 877.9744
64 5308416 4d-openmp-simd Triad 833.1883
64 3200000 5d-mdrange Set 171.9748
64 3200000 5d-mdrange Copy 142.4208
64 3200000 5d-mdrange Scale 178.5783
64 3200000 5d-mdrange Add 233.6058
64 3200000 5d-mdrange Triad 247.0335
64 16777216 range Set 473.7670
64 16777216 range Copy 407.2659
64 16777216 range Scale 256.0222
64 16777216 range Add 310.1952
64 16777216 range Triad 262.5708
64 16777216 2d-mdrange Set 100.4870
64 16777216 2d-mdrange Copy 94.4847
64 16777216 2d-mdrange Scale 82.9066
64 16777216 2d-mdrange Add 84.6119
64 16777216 2d-mdrange Triad 81.7289
64 16777216 3d-mdrange Set 50.8034
64 16777216 3d-mdrange Copy 48.8949
64 16777216 3d-mdrange Scale 49.0316
64 16777216 3d-mdrange Add 53.2859
64 16777216 3d-mdrange Triad 53.2147
64 16777216 4d-mdrange Set 41.1545
64 16777216 4d-mdrange Copy 43.8858
64 16777216 4d-mdrange Scale 43.7641
64 16777216 4d-mdrange Add 40.5994
64 16777216 4d-mdrange Triad 40.4263
64 16777216 4d-mdrange-tiling Set 53.6775
64 16777216 4d-mdrange-tiling Copy 61.1022
64 16777216 4d-mdrange-tiling Scale 58.2385
64 16777216 4d-mdrange-tiling Add 57.6282
64 16777216 4d-mdrange-tiling Triad 60.0548
64 16777216 4d-openmp Set 346.0129
64 16777216 4d-openmp Copy 308.5018
64 16777216 4d-openmp Scale 304.5333
64 16777216 4d-openmp Add 296.4079
64 16777216 4d-openmp Triad 219.0963
64 16777216 4d-openmp-simd Set 397.7069
64 16777216 4d-openmp-simd Copy 338.5250
64 16777216 4d-openmp-simd Scale 284.3942
64 16777216 4d-openmp-simd Add 307.9085
64 16777216 4d-openmp-simd Triad 225.1810
64 17210368 5d-mdrange Set 65.6186
64 17210368 5d-mdrange Copy 67.9882
64 17210368 5d-mdrange Scale 54.2212
64 17210368 5d-mdrange Add 49.4792
64 17210368 5d-mdrange Triad 44.8274
64 40960000 range Set 179.5555
64 40960000 range Copy 164.1470
64 40960000 range Scale 137.2310
64 40960000 range Add 160.9675
64 40960000 range Triad 144.2269
64 40960000 2d-mdrange Set 129.3558
64 40960000 2d-mdrange Copy 120.3164
64 40960000 2d-mdrange Scale 100.1424
64 40960000 2d-mdrange Add 116.6815
64 40960000 2d-mdrange Triad 106.5750
64 46656000 3d-mdrange Set 44.3258
64 46656000 3d-mdrange Copy 51.2320
64 46656000 3d-mdrange Scale 49.2085
64 46656000 3d-mdrange Add 52.6789
64 46656000 3d-mdrange Triad 50.7780
64 40960000 4d-mdrange Set 48.1285
64 40960000 4d-mdrange Copy 52.3211
64 40960000 4d-mdrange Scale 49.0000
64 40960000 4d-mdrange Add 51.2189
64 40960000 4d-mdrange Triad 53.6681
64 40960000 4d-mdrange-tiling Set 122.4113
64 40960000 4d-mdrange-tiling Copy 116.6334
64 40960000 4d-mdrange-tiling Scale 90.2862
64 40960000 4d-mdrange-tiling Add 113.6556
64 40960000 4d-mdrange-tiling Triad 102.2160
64 40960000 4d-openmp Set 177.3332
64 40960000 4d-openmp Copy 163.7614
64 40960000 4d-openmp Scale 136.8796
