nt n factor policy kernel bw
96 4096 4 4d-mdrange Set 1.3790
96 4096 4 4d-mdrange Copy 2.7847
96 4096 4 4d-mdrange Scale 2.6503
96 4096 4 4d-mdrange Add 4.0933
96 4096 4 4d-mdrange Triad 4.1178
96 4096 8 2d-mdrange Set 1.4445
96 4096 8 2d-mdrange Copy 2.8398
96 4096 8 2d-mdrange Scale 2.8683
96 4096 8 2d-mdrange Add 4.3296
96 4096 8 2d-mdrange Triad 4.4081
96 4096 8 3d-mdrange Set 1.4006
96 4096 8 3d-mdrange Copy 2.7372
96 4096 8 3d-mdrange Scale 2.7026
96 4096 8 3d-mdrange Add 4.1814
96 4096 8 3d-mdrange Triad 4.1138
96 4096 8 4d-mdrange Set 1.3642
96 4096 8 4d-mdrange Copy 2.7290
96 4096 8 4d-mdrange Scale 2.2676
96 4096 8 4d-mdrange Add 3.0182
96 4096 8 4d-mdrange Triad 3.1142
96 4096 16 2d-mdrange Set 1.4520
96 4096 16 2d-mdrange Copy 2.8249
96 4096 16 2d-mdrange Scale 2.7883
96 4096 16 2d-mdrange Add 4.2243
96 4096 16 2d-mdrange Triad 4.3311
96 4096 16 3d-mdrange Set 1.3956
96 4096 16 3d-mdrange Copy 2.7406
96 4096 16 3d-mdrange Scale 2.0458
96 4096 16 3d-mdrange Add 3.2821
96 4096 16 3d-mdrange Triad 3.2571
96 4096 16 4d-mdrange Set 1.3301
96 4096 16 4d-mdrange Copy 2.6772
96 4096 16 4d-mdrange Scale 2.2159
96 4096 16 4d-mdrange Add 3.0063
96 4096 16 4d-mdrange Triad 3.1448
96 4096 32 2d-mdrange Set 1.3698
96 4096 32 2d-mdrange Copy 2.6638
96 4096 32 2d-mdrange Scale 2.6630
96 4096 32 2d-mdrange Add 4.0178
96 4096 32 2d-mdrange Triad 3.9405
96 4096 32 3d-mdrange Set 1.4553
96 4096 32 3d-mdrange Copy 2.7312
96 4096 32 3d-mdrange Scale 2.7290
96 4096 32 3d-mdrange Add 3.2416
96 4096 32 3d-mdrange Triad 3.1328
96 4096 32 4d-mdrange Set 1.3510
96 4096 32 4d-mdrange Copy 2.7174
96 4096 32 4d-mdrange Scale 2.0976
96 4096 32 4d-mdrange Add 2.9897
96 4096 32 4d-mdrange Triad 3.0638
96 4096 64 2d-mdrange Set 1.2197
96 4096 64 2d-mdrange Copy 2.4037
96 4096 64 2d-mdrange Scale 2.4456
96 4096 64 2d-mdrange Add 3.6127
96 4096 64 2d-mdrange Triad 3.5744
96 4096 64 3d-mdrange Set 1.2985
96 4096 64 3d-mdrange Copy 2.6607
96 4096 64 3d-mdrange Scale 2.6414
96 4096 64 3d-mdrange Add 3.2431
96 4096 64 3d-mdrange Triad 3.2510
96 4096 64 4d-mdrange Set 1.3438
96 4096 64 4d-mdrange Copy 2.6242
96 4096 64 4d-mdrange Scale 2.0205
96 4096 64 4d-mdrange Add 2.9721
96 4096 64 4d-mdrange Triad 3.3110
96 20736 1 2d-mdrange Set 7.5229
96 20736 1 2d-mdrange Copy 14.5516
96 20736 1 2d-mdrange Scale 14.8147
96 20736 1 2d-mdrange Add 22.1647
96 20736 1 2d-mdrange Triad 22.0654
96 32768 1 3d-mdrange Set 11.4513
96 32768 1 3d-mdrange Copy 22.5335
96 32768 1 3d-mdrange Scale 22.4371
96 32768 1 3d-mdrange Add 33.5365
96 32768 1 3d-mdrange Triad 34.0786
96 20736 1 4d-mdrange Set 6.9707
96 20736 1 4d-mdrange Copy 13.9954
96 20736 1 4d-mdrange Scale 13.9320
96 20736 1 4d-mdrange Add 20.6004
96 20736 1 4d-mdrange Triad 21.8006
96 20736 2 2d-mdrange Set 7.1426
96 20736 2 2d-mdrange Copy 14.0965
96 20736 2 2d-mdrange Scale 13.8668
96 20736 2 2d-mdrange Add 20.7836
96 20736 2 2d-mdrange Triad 21.3746
96 32768 2 3d-mdrange Set 11.4090
96 32768 2 3d-mdrange Copy 22.2987
96 32768 2 3d-mdrange Scale 22.6680
96 32768 2 3d-mdrange Add 34.4624
96 32768 2 3d-mdrange Triad 33.7771
96 20736 2 4d-mdrange Set 6.8427
96 20736 2 4d-mdrange Copy 14.0553
96 20736 2 4d-mdrange Scale 13.2182
96 20736 2 4d-mdrange Add 19.9345
96 20736 2 4d-mdrange Triad 20.0429
96 20736 4 2d-mdrange Set 7.2459
96 20736 4 2d-mdrange Copy 14.2222
96 20736 4 2d-mdrange Scale 14.0126
96 20736 4 2d-mdrange Add 20.1117
96 20736 4 2d-mdrange Triad 21.2169
96 32768 4 3d-mdrange Set 11.3443
96 32768 4 3d-mdrange Copy 22.3139
96 32768 4 3d-mdrange Scale 21.4240
96 32768 4 3d-mdrange Add 32.0600
96 32768 4 3d-mdrange Triad 31.7956
96 20736 4 4d-mdrange Set 6.7720
96 20736 4 4d-mdrange Copy 13.3051
96 20736 4 4d-mdrange Scale 11.7430
96 20736 4 4d-mdrange Add 17.9313
96 20736 4 4d-mdrange Triad 18.0752
96 20736 8 2d-mdrange Set 7.2694
96 20736 8 2d-mdrange Copy 14.2822
96 20736 8 2d-mdrange Scale 14.2988
96 20736 8 2d-mdrange Add 21.4031
96 20736 8 2d-mdrange Triad 22.0371
96 32768 8 3d-mdrange Set 11.1196
96 32768 8 3d-mdrange Copy 20.7902
96 32768 8 3d-mdrange Scale 17.8487
96 32768 8 3d-mdrange Add 27.2386
96 32768 8 3d-mdrange Triad 27.1155
96 20736 8 4d-mdrange Set 5.2621
96 20736 8 4d-mdrange Copy 11.1125
96 20736 8 4d-mdrange Scale 7.5746
96 20736 8 4d-mdrange Add 11.3281
96 20736 8 4d-mdrange Triad 11.4327
96 20736 16 2d-mdrange Set 6.9418
96 20736 16 2d-mdrange Copy 14.0345
96 20736 16 2d-mdrange Scale 14.1857
96 20736 16 2d-mdrange Add 20.4657
96 20736 16 2d-mdrange Triad 20.2624
96 32768 16 3d-mdrange Set 8.5453
96 32768 16 3d-mdrange Copy 16.5563
96 32768 16 3d-mdrange Scale 11.7881
96 32768 16 3d-mdrange Add 17.4093
96 32768 16 3d-mdrange Triad 17.5101
96 20736 16 4d-mdrange Set 5.3162
96 20736 16 4d-mdrange Copy 11.2219
96 20736 16 4d-mdrange Scale 7.1249
96 20736 16 4d-mdrange Add 10.9115
96 20736 16 4d-mdrange Triad 10.7496
96 20736 32 2d-mdrange Set 6.5847
96 20736 32 2d-mdrange Copy 13.7501
96 20736 32 2d-mdrange Scale 13.4426
96 20736 32 2d-mdrange Add 17.3656
96 20736 32 2d-mdrange Triad 17.2770
96 32768 32 3d-mdrange Set 4.1041
96 32768 32 3d-mdrange Copy 9.5960
96 32768 32 3d-mdrange Scale 6.6983
96 32768 32 3d-mdrange Add 8.1031
96 32768 32 3d-mdrange Triad 7.6229
96 20736 32 4d-mdrange Set 5.2730
96 20736 32 4d-mdrange Copy 10.6990
96 20736 32 4d-mdrange Scale 7.2333
96 20736 32 4d-mdrange Add 10.6912
96 20736 32 4d-mdrange Triad 10.9668
96 20736 64 2d-mdrange Set 5.3296
96 20736 64 2d-mdrange Copy 10.6420
96 20736 64 2d-mdrange Scale 9.4945
96 20736 64 2d-mdrange Add 14.7029
96 20736 64 2d-mdrange Triad 14.7859
96 32768 64 3d-mdrange Set 4.1216
96 32768 64 3d-mdrange Copy 9.1822
96 32768 64 3d-mdrange Scale 8.5397
96 32768 64 3d-mdrange Add 10.1589
96 32768 64 3d-mdrange Triad 10.3212
96 20736 64 4d-mdrange Set 5.1483
96 20736 64 4d-mdrange Copy 10.5066
96 20736 64 4d-mdrange Scale 7.0026
96 20736 64 4d-mdrange Add 10.5684
96 20736 64 4d-mdrange Triad 10.8200
96 65536 1 2d-mdrange Set 23.1648
96 65536 1 2d-mdrange Copy 44.8992
96 65536 1 2d-mdrange Scale 45.5368
96 65536 1 2d-mdrange Add 65.7662
96 65536 1 2d-mdrange Triad 67.0245
96 64000 1 3d-mdrange Set 22.4552
96 64000 1 3d-mdrange Copy 43.7214
96 64000 1 3d-mdrange Scale 43.8995
96 64000 1 3d-mdrange Add 64.5758
96 64000 1 3d-mdrange Triad 66.9077
96 65536 1 4d-mdrange Set 23.7503
96 65536 1 4d-mdrange Copy 46.3910
96 65536 1 4d-mdrange Scale 46.3951
96 65536 1 4d-mdrange Add 68.2607
96 65536 1 4d-mdrange Triad 68.1100
96 65536 2 2d-mdrange Set 22.9749
96 65536 2 2d-mdrange Copy 45.5843
96 65536 2 2d-mdrange Scale 45.5982
96 65536 2 2d-mdrange Add 68.4270
96 65536 2 2d-mdrange Triad 69.6697
96 64000 2 3d-mdrange Set 21.5253
96 64000 2 3d-mdrange Copy 42.9404
96 64000 2 3d-mdrange Scale 43.1376
96 64000 2 3d-mdrange Add 64.0694
96 64000 2 3d-mdrange Triad 64.1792
96 65536 2 4d-mdrange Set 22.0716
96 65536 2 4d-mdrange Copy 44.1971
96 65536 2 4d-mdrange Scale 44.5672
96 65536 2 4d-mdrange Add 66.1506
96 65536 2 4d-mdrange Triad 65.7359
96 65536 4 2d-mdrange Set 21.9809
96 65536 4 2d-mdrange Copy 44.1952
96 65536 4 2d-mdrange Scale 42.9515
96 65536 4 2d-mdrange Add 66.7146
96 65536 4 2d-mdrange Triad 66.2761
96 64000 4 3d-mdrange Set 21.7604
96 64000 4 3d-mdrange Copy 42.2495
96 64000 4 3d-mdrange Scale 38.8600
96 64000 4 3d-mdrange Add 58.3853
96 64000 4 3d-mdrange Triad 59.0202
96 65536 4 4d-mdrange Set 20.4952
96 65536 4 4d-mdrange Copy 41.4900
96 65536 4 4d-mdrange Scale 32.0381
96 65536 4 4d-mdrange Add 46.9428
96 65536 4 4d-mdrange Triad 47.9415
96 65536 8 2d-mdrange Set 22.3377
96 65536 8 2d-mdrange Copy 46.9246
96 65536 8 2d-mdrange Scale 45.8234
96 65536 8 2d-mdrange Add 69.5527
96 65536 8 2d-mdrange Triad 67.3575
96 64000 8 3d-mdrange Set 18.4365
96 64000 8 3d-mdrange Copy 38.1208
96 64000 8 3d-mdrange Scale 29.4473
